model,fold,rows,failures,average_precision,roc_auc,brier_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp,training_fraction,training_rows,training_failures
hist_gradient_boosting,3,529,17,0.029564430923673772,0.3924057904411765,0.035613536678061074,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,509,3,17,0,0.1,212,7
hist_gradient_boosting,3,529,17,0.04237277052697146,0.5492302389705882,0.03817556147665468,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,508,4,17,0,0.2,424,14
hist_gradient_boosting,3,529,17,0.16923691751392664,0.6791704963235293,0.030317926266419635,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.07407407407407407,0.05660377358490566,512,0,15,2,0.4,847,28
hist_gradient_boosting,3,529,17,0.10902465138078003,0.6248276654411764,0.03173284373971611,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.07407407407407407,0.07547169811320754,512,0,17,0,0.6,1271,41
hist_gradient_boosting,3,529,17,0.15613662617443574,0.5810546875,0.030492207729792598,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.07407407407407407,0.05660377358490566,512,0,15,2,0.8,1694,55
hist_gradient_boosting,3,529,17,0.17747089940278551,0.6070197610294117,0.028973227520790377,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.05660377358490566,512,0,15,2,1.0,2117,69
hist_gradient_boosting,4,529,17,0.11228647956176557,0.6672219669117647,0.032967299670039175,0.11764705882352941,0.058823529411764705,0.0,0.3333333333333333,0.1111111111111111,0.05660377358490566,510,2,16,1,0.1,212,7
hist_gradient_boosting,4,529,17,0.03493925171736022,0.49908088235294124,0.03842156845886396,0.0,0.0,0.0,0.0,0.0,0.0,507,5,17,0,0.2,424,14
hist_gradient_boosting,4,529,17,0.2081982636948439,0.5587660845588235,0.02915450636323447,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.05660377358490566,512,0,16,1,0.4,847,28
hist_gradient_boosting,4,529,17,0.17671377211638356,0.6310317095588235,0.02917719124037115,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.07547169811320754,512,0,16,1,0.6,1271,41
hist_gradient_boosting,4,529,17,0.22294641715098085,0.6513671875,0.027177082578408708,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.6666666666666666,0.2222222222222222,0.1320754716981132,511,1,14,3,0.8,1694,55
hist_gradient_boosting,4,529,17,0.18997476362717888,0.6736557904411765,0.029247145370102343,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.5,0.14814814814814814,0.09433962264150944,511,1,14,3,1.0,2117,69
hist_gradient_boosting,5,529,17,0.033374020019081636,0.4763327205882353,0.03305607634404611,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,512,0,17,0,0.1,212,7
hist_gradient_boosting,5,529,17,0.05168565400489672,0.6293658088235294,0.03753120835409392,0.0,0.0,0.0,0.0,0.037037037037037035,0.07547169811320754,510,2,17,0,0.2,424,14
hist_gradient_boosting,5,529,17,0.08847965396181431,0.6577435661764706,0.03330543295450001,0.058823529411764705,0.0,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,510,2,16,1,0.4,847,28
hist_gradient_boosting,5,529,17,0.08441916313108513,0.6067325367647058,0.03281706133228394,0.0,0.0,0.0,0.16666666666666666,0.14814814814814814,0.11320754716981132,510,2,17,0,0.6,1271,41
hist_gradient_boosting,5,529,17,0.06520484506541183,0.6680836397058824,0.03506933075374405,0.0,0.0,0.0,0.0,0.07407407407407407,0.11320754716981132,508,4,17,0,0.8,1694,55
