endpoint,feature_count,model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
pass_fail,5,linear_svm_rbf_calibrated_probability,3,529,17,0.0523587146830965,0.0523587146830965,0.5670955882352942,0.031082586251284284,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05660377358490566,512,0,17,0
pass_fail,5,hist_gradient_boosting,3,529,17,0.11223027075830215,0.11223027075830215,0.4891429227941177,0.031278562195949995,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.3333333333333333,0.07407407407407407,0.03773584905660377,512,0,17,0
pass_fail,5,balanced_random_forest,3,529,17,0.050792216528822334,0.050792216528822334,0.5183823529411765,0.13672547625032727,0.06349206349206349,0.0,0.0,0.0,0.16666666666666666,0.07407407407407407,0.03773584905660377,468,44,15,2
pass_fail,5,lightgbm_balanced,3,529,17,0.063340774843045,0.063340774843045,0.4852366727941177,0.1439188864262895,0.07339449541284404,0.11764705882352941,0.0,0.0,0.3333333333333333,0.07407407407407407,0.05660377358490566,424,88,13,4
pass_fail,5,xgboost_weighted,3,529,17,0.049099240682595746,0.049099240682595746,0.47334558823529405,0.16741466522216797,0.05714285714285714,0.0,0.0,0.0,0.16666666666666666,0.07407407407407407,0.03773584905660377,393,119,13,4
pass_fail,5,prevalence_baseline,4,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,512,0,17,0
pass_fail,5,logistic_l2_balanced,4,529,17,0.19035227085103337,0.19035227085103337,0.6093175551470589,0.24028016031715876,0.05847953216374269,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.5,0.1111111111111111,0.05660377358490566,363,149,12,5
pass_fail,5,logistic_l1_balanced,4,529,17,0.190618567831342,0.190618567831342,0.6129940257352942,0.24062964314868698,0.05847953216374269,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.5,0.1111111111111111,0.05660377358490566,363,149,12,5
pass_fail,5,elastic_net_logistic,4,529,17,0.19039098582781633,0.19039098582781633,0.6098920036764706,0.24023481713940534,0.05847953216374269,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.5,0.1111111111111111,0.05660377358490566,363,149,12,5
pass_fail,5,linear_svm_rbf_calibrated_probability,4,529,17,0.02413869649173921,0.02413869649173921,0.3315142463235294,0.032333123826398386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
pass_fail,5,hist_gradient_boosting,4,529,17,0.15631471011970388,0.15631471011970388,0.6519416360294117,0.030151684682839644,0.0,0.17647058823529413,0.17647058823529413,0.0,0.5,0.1111111111111111,0.1320754716981132,511,1,17,0
pass_fail,5,balanced_random_forest,4,529,17,0.14499996326218006,0.14499996326218006,0.6493566176470589,0.13854944680990225,0.21428571428571427,0.35294117647058826,0.0,0.0,0.3333333333333333,0.2222222222222222,0.11320754716981132,479,33,11,6
pass_fail,5,lightgbm_balanced,4,529,17,0.10331704167948104,0.10331704167948104,0.6470013786764706,0.12979190461953954,0.13793103448275862,0.0,0.0,0.0,0.16666666666666666,0.18518518518518517,0.1320754716981132,421,91,9,8
pass_fail,5,xgboost_weighted,4,529,17,0.17882716292432901,0.17882716292432901,0.6748621323529411,0.16305384039878845,0.13793103448275862,0.35294117647058826,0.17647058823529413,0.0,0.5,0.2222222222222222,0.11320754716981132,421,91,9,8
pass_fail,5,prevalence_baseline,5,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
pass_fail,5,logistic_l2_balanced,5,529,17,0.12065819953853923,0.12065819953853923,0.5947840073529411,0.2308277011182634,0.09433962264150944,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.3333333333333333,0.07407407407407407,0.03773584905660377,428,84,12,5
pass_fail,5,logistic_l1_balanced,5,529,17,0.12075262554817412,0.12075262554817412,0.5959329044117647,0.23125703608353088,0.09433962264150944,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.3333333333333333,0.07407407407407407,0.03773584905660377,428,84,12,5
