feature,count,mean,std,min,25%,50%,75%,max,correlation_with_fail
slash_mod_position_std,2646.0,2.948371027129826,12.19493235433518,0.0,0.0,0.0,0.0,70.5,-0.031929415019728936
slash_mod_last_position,2646.0,11.136054421768707,33.37854727101962,-1.0,-1.0,-1.0,-1.0,141.0,-0.0312096131843852
slash_mod_density_5p,2646.0,0.0028061532665504163,0.013765366791042236,0.0,0.0,0.0,0.0,0.2727272727272727,0.031115426408086858
modified_token_count_3p,2646.0,9.522297808012095,10.15193062606412,0.0,6.0,6.0,7.0,46.0,0.0310933591257277
longest_rna_run,2646.0,82.89191232048375,33.26928047631314,3.0,61.0,93.0,94.0,187.0,-0.031056068831373983
base_U_count,2646.0,27.969009826152682,7.340321838329882,0.0,26.0,28.0,32.0,60.0,-0.030879721435334625
base_T_count,2646.0,27.969009826152682,7.340321838329882,0.0,26.0,28.0,32.0,60.0,-0.030879721435334625
longest_mA_run,2646.0,1.130007558578987,1.6775260161662144,0.0,0.0,1.0,1.0,5.0,0.03026728837188109
methyl_density_middle,2646.0,0.04722359422650767,0.11372955977799325,0.0,0.0,0.0,0.0,1.0,0.029797945421738192
slash_mod_count_5p,2646.0,0.08767951625094482,0.46489560274101566,0.0,0.0,0.0,0.0,9.0,0.029618323981785627
token_mG_count,2646.0,2.7944066515495085,4.243004126150974,0.0,0.0,1.0,3.0,16.0,0.029480655277182157
rna_mean_position,2646.0,53.48397132939818,12.029612965862812,7.5,52.0,52.56382978723404,62.50925925925926,122.0,-0.028727671146067092
token_rG_count,2646.0,23.602796674225246,8.981719289791291,1.0,19.0,24.0,29.0,54.0,-0.027729807487337346
modified_token_density_3p,2646.0,0.25618365904525914,0.28000675427845545,0.0,0.13953488372093023,0.16666666666666666,0.17873303167420815,1.0,0.02747023868536147
mod_density_3p,2646.0,0.25618365904525914,0.28000675427845545,0.0,0.13953488372093023,0.16666666666666666,0.17873303167420815,1.0,0.02747023868536147
token_rU_fraction,2646.0,0.21160081990958504,0.052184588306713645,0.0,0.19444444444444445,0.2169811320754717,0.24528301886792453,0.4146341463414634,-0.02693913846766343
token_mG_fraction,2646.0,0.025568814427202293,0.038878517300975746,0.0,0.0,0.009433962264150943,0.02631578947368421,0.15,0.026313394881874164
slash_mod_mean_position,2646.0,8.119326416633672,25.739583202799903,-1.0,-1.0,-1.0,-1.0,122.0,-0.025878527265707028
modified_token_last_position,2646.0,103.77815570672713,34.04020072734,-1.0,104.0,105.0,126.0,198.0,-0.025669732479910504
rna_density_3p,2646.0,0.7410175519172737,0.2823305467786689,0.0,0.8133223684210527,0.8333333333333334,0.8604651162790697,1.0,-0.02542685056647497
methyl_count_3p,2646.0,6.642857142857143,9.690591387354694,0.0,3.0,3.0,3.0,35.0,0.024353773041161077
