model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
correlation_reduced_prevalence_baseline,4,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,512,0,17,0
correlation_reduced_logistic_l2_balanced,4,529,17,0.20491776417609048,0.20491776417609048,0.6455078125,0.19169999061386803,0.0979020979020979,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.07547169811320754,393,119,10,7
correlation_reduced_logistic_l1_balanced,4,529,17,0.2025455742993549,0.2025455742993549,0.6235638786764706,0.1948176938034143,0.08,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.07547169811320754,385,127,11,6
correlation_reduced_elastic_net_logistic,4,529,17,0.20447509954903587,0.20447509954903587,0.6410271139705883,0.1919679597858243,0.09859154929577464,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.07547169811320754,394,118,10,7
correlation_reduced_linear_svm_rbf_calibrated_probability,4,529,17,0.03257609601844046,0.03257609601844046,0.3688534007352941,0.03150192875186534,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,17,0
correlation_reduced_hist_gradient_boosting,4,529,17,0.23921849969590486,0.23921849969590486,0.7069738051470588,0.02889349890373582,0.10526315789473684,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.5,0.18518518518518517,0.1509433962264151,511,1,16,1
correlation_reduced_balanced_random_forest,4,529,17,0.24034471519690115,0.24034471519690115,0.6859489889705882,0.11729802271055373,0.3018867924528302,0.47058823529411764,0.29411764705882354,0.0,0.5,0.2962962962962963,0.1509433962264151,484,28,9,8
correlation_reduced_elastic_net_logistic_with_char_ngrams,4,529,17,0.24324285424702408,0.24324285424702408,0.6781364889705883,0.20224556360852203,0.09937888198757763,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.1320754716981132,376,136,9,8
correlation_reduced_lightgbm_balanced,4,529,17,0.1804559370257433,0.1804559370257433,0.6960592830882352,0.08852644794346418,0.18823529411764706,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.18518518518518517,0.1509433962264151,452,60,9,8
correlation_reduced_xgboost_weighted,4,529,17,0.34170501881139653,0.34170501881139653,0.6887063419117647,0.1360200196504593,0.140625,0.4117647058823529,0.4117647058823529,0.23529411764705882,0.6666666666666666,0.25925925925925924,0.1509433962264151,410,102,8,9
correlation_reduced_prevalence_baseline,5,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
correlation_reduced_logistic_l2_balanced,5,529,17,0.11807345287263504,0.11807345287263504,0.5954733455882353,0.17849522920819713,0.1,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.14814814814814814,0.07547169811320754,415,97,11,6
correlation_reduced_logistic_l1_balanced,5,529,17,0.1133294328943758,0.1133294328943758,0.5981158088235294,0.1781398831481337,0.07874015748031496,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.1111111111111111,0.07547169811320754,407,105,12,5
correlation_reduced_elastic_net_logistic,5,529,17,0.1162783796240849,0.1162783796240849,0.5965073529411764,0.17753135843311446,0.09523809523809523,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.14814814814814814,0.07547169811320754,409,103,11,6
correlation_reduced_linear_svm_rbf_calibrated_probability,5,529,17,0.031661694117098946,0.031661694117098946,0.3717830882352941,0.03125337149951739,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.03773584905660377,512,0,17,0
correlation_reduced_hist_gradient_boosting,5,529,17,0.11262870713844067,0.11262870713844067,0.7178308823529412,0.03297009708513222,0.0,0.17647058823529413,0.0,0.0,0.0,0.14814814814814814,0.11320754716981132,508,4,17,0
correlation_reduced_balanced_random_forest,5,529,17,0.09553881309466167,0.09553881309466167,0.7081801470588235,0.1043249930022205,0.15789473684210525,0.058823529411764705,0.0,0.0,0.16666666666666666,0.1111111111111111,0.11320754716981132,494,18,14,3
correlation_reduced_elastic_net_logistic_with_char_ngrams,5,529,17,0.18802354258936177,0.18802354258936177,0.5796185661764706,0.19566145652430944,0.08108108108108109,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.5,0.14814814814814814,0.09433962264150944,387,125,11,6
correlation_reduced_lightgbm_balanced,5,529,17,0.09329679265213939,0.09329679265213939,0.7117417279411764,0.08944612321247242,0.136986301369863,0.11764705882352941,0.0,0.0,0.0,0.14814814814814814,0.09433962264150944,461,51,12,5
correlation_reduced_xgboost_weighted,5,529,17,0.10676338122815712,0.10676338122815712,0.6947380514705881,0.1196674183011055,0.13636363636363635,0.11764705882352941,0.0,0.0,0.16666666666666666,0.14814814814814814,0.07547169811320754,447,65,11,6
correlation_reduced_balanced_random_forest,overall_oof,2646,86,0.08203959006646519,0.08203959006646519,0.6303165879360465,0.11130218183046053,0.17511520737327188,0.011627906976744186,0.0,0.0,0.1111111111111111,0.14285714285714285,0.09056603773584905,2448,112,67,19
correlation_reduced_elastic_net_logistic,overall_oof,2646,86,0.06613200944676519,0.06613200944676519,0.5912609011627907,0.19486618191836794,0.09171974522292993,0.0,0.0,0.0,0.18518518518518517,0.09774436090225563,0.07547169811320754,1897,663,50,36
correlation_reduced_elastic_net_logistic_with_char_ngrams,overall_oof,2646,86,0.08939504851163046,0.08939504851163046,0.5776844113372093,0.19576450287193597,0.08247422680412371,0.12790697674418605,0.011627906976744186,0.0,0.25925925925925924,0.12030075187969924,0.08679245283018867,1995,565,58,28
correlation_reduced_hist_gradient_boosting,overall_oof,2646,86,0.11385656722578366,0.11385656722578366,0.6529160610465117,0.03187099959148964,0.08,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.2222222222222222,0.13533834586466165,0.09811320754716982,2550,10,82,4
correlation_reduced_lightgbm_balanced,overall_oof,2646,86,0.09103047482628626,0.09103047482628626,0.6474314135174419,0.09176565820662268,0.12853470437017994,0.16279069767441862,0.0,0.0,0.3333333333333333,0.15037593984962405,0.08679245283018867,2282,278,61,25
correlation_reduced_linear_svm_rbf_calibrated_probability,overall_oof,2646,86,0.028367776058066587,0.028367776058066587,0.409593023255814,0.03164071315229946,0.0,0.0,0.0,0.0,0.037037037037037035,0.022556390977443608,0.033962264150943396,2560,0,86,0
correlation_reduced_logistic_l1_balanced,overall_oof,2646,86,0.06437322112666516,0.06437322112666516,0.5913108648255814,0.19483248334538278,0.08771929824561403,0.0,0.0,0.0,0.18518518518518517,0.10526315789473684,0.07169811320754717,1883,677,51,35
correlation_reduced_logistic_l2_balanced,overall_oof,2646,86,0.070040813062244,0.070040813062244,0.5972701671511628,0.19443444556270417,0.09414758269720101,0.05813953488372093,0.0,0.0,0.18518518518518517,0.11278195488721804,0.07547169811320754,1897,663,49,37
correlation_reduced_prevalence_baseline,overall_oof,2646,86,0.03221266525689715,0.03221266525689715,0.4953488372093023,0.031445817764471036,0.0,0.0,0.0,0.0,0.0,0.06015037593984962,0.03773584905660377,2560,0,86,0
correlation_reduced_xgboost_weighted,overall_oof,2646,86,0.10256841504877992,0.10256841504877992,0.6328511082848838,0.12863327373803102,0.12307692307692308,0.13953488372093023,0.03488372093023256,0.0,0.18518518518518517,0.14285714285714285,0.09056603773584905,2158,402,54,32
