model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
elastic_net_logistic,3,529,17,0.16201087373724055,0.16201087373724055,0.5305032169117647,0.18208682533174655,0.06451612903225806,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.14814814814814814,0.07547169811320754,379,133,12,5
linear_svm_rbf_calibrated_probability,3,529,17,0.048105479688468004,0.048105479688468004,0.4861557904411765,0.03113023354417736,0.0,0.058823529411764705,0.0,0.0,0.16666666666666666,0.037037037037037035,0.03773584905660377,512,0,17,0
hist_gradient_boosting,3,529,17,0.17747089940278551,0.17747089940278551,0.6070197610294117,0.028973227520790377,0.21052631578947367,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.05660377358490566,512,0,15,2
balanced_random_forest,3,529,17,0.0690377694998613,0.0690377694998613,0.5523322610294118,0.10708935020386913,0.16666666666666666,0.11764705882352941,0.0,0.0,0.16666666666666666,0.1111111111111111,0.05660377358490566,496,16,14,3
elastic_net_logistic_with_char_ngrams,3,529,17,0.12981148513940485,0.12981148513940485,0.5434857536764706,0.20135341444326066,0.07518796992481203,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.3333333333333333,0.07407407407407407,0.07547169811320754,401,111,12,5
lightgbm_balanced,3,529,17,0.1502460094673342,0.1502460094673342,0.5348690257352942,0.07350258687695857,0.08695652173913043,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.07407407407407407,0.03773584905660377,485,27,15,2
xgboost_weighted,3,529,17,0.08220752429542338,0.08220752429542338,0.534869025735294,0.11277560144662857,0.057971014492753624,0.11764705882352941,0.058823529411764705,0.0,0.3333333333333333,0.07407407407407407,0.03773584905660377,462,50,15,2
prevalence_baseline,4,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,512,0,17,0
rule_baseline,4,529,17,0.05307168148305669,0.05307168148305669,0.5373391544117646,0.16137595828226026,0.09523809523809523,0.0,0.0,0.0,0.0,0.07407407407407407,0.03773584905660377,489,23,15,2
logistic_l2_balanced,4,529,17,0.2229891970152861,0.2229891970152861,0.6736557904411764,0.1826486533474575,0.11688311688311688,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.05660377358490566,384,128,8,9
logistic_l1_balanced,4,529,17,0.21968747575310665,0.21968747575310665,0.6606732536764706,0.1849213072038286,0.10714285714285714,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.05660377358490566,370,142,8,9
elastic_net_logistic,4,529,17,0.22278768397266366,0.22278768397266366,0.6749195772058824,0.182917422156478,0.12,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.05660377358490566,388,124,8,9
linear_svm_rbf_calibrated_probability,4,529,17,0.03161112573735908,0.03161112573735908,0.3687385110294118,0.03148437733143329,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,512,0,17,0
hist_gradient_boosting,4,529,17,0.18997476362717888,0.18997476362717888,0.6736557904411765,0.029247145370102343,0.2857142857142857,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.5,0.14814814814814814,0.09433962264150944,511,1,14,3
balanced_random_forest,4,529,17,0.2011523784858555,0.2011523784858555,0.6749195772058824,0.1147018714629383,0.3137254901960784,0.23529411764705882,0.23529411764705882,0.0,0.5,0.2222222222222222,0.1509433962264151,486,26,9,8
elastic_net_logistic_with_char_ngrams,4,529,17,0.19749006679150177,0.19749006679150177,0.7198414522058824,0.19800274037851145,0.12738853503184713,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.14814814814814814,0.09433962264150944,382,130,7,10
lightgbm_balanced,4,529,17,0.1618253546075984,0.1618253546075984,0.6645795036764706,0.08960060760079835,0.17073170731707318,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.14814814814814814,0.1320754716981132,454,58,10,7
xgboost_weighted,4,529,17,0.25301081066477704,0.25301081066477704,0.6708984375,0.1291346251964569,0.15,0.35294117647058826,0.29411764705882354,0.058823529411764705,0.3333333333333333,0.2222222222222222,0.1509433962264151,418,94,8,9
prevalence_baseline,5,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
rule_baseline,5,529,17,0.030774157285449005,0.030774157285449005,0.43830422794117646,0.1672596716166252,0.05128205128205128,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,491,21,16,1
logistic_l2_balanced,5,529,17,0.18104076620501702,0.18104076620501702,0.6058134191176471,0.16935705390448666,0.07874015748031496,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.14814814814814814,0.07547169811320754,407,105,12,5
logistic_l1_balanced,5,529,17,0.12272689576375091,0.12272689576375091,0.5665211397058824,0.1684364886664241,0.05970149253731343,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.3333333333333333,0.1111111111111111,0.05660377358490566,399,113,13,4
elastic_net_logistic,5,529,17,0.1855846638632989,0.1855846638632989,0.6021369485294117,0.16931416956954332,0.0967741935483871,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.14814814814814814,0.07547169811320754,411,101,11,6
