endpoint,feature_count,model,fold,rows,mae,rmse,r2,pearson_r,spearman_r,observed_mean,predicted_mean
mainpeak_regression,9,extra_trees,2,531,4.451695991400022,6.490081179203077,0.646604784302082,0.8045355411419449,0.7421724560240394,76.72504708097928,76.6687892904882
mainpeak_regression,9,mean_baseline,3,531,8.403365513471106,11.125061854575337,-1.4311975826242218e-05,,,76.15442561205273,76.19651272384542
mainpeak_regression,9,ridge,3,531,5.208965611047685,7.018008103805537,0.6020494789392432,0.7763190026194323,0.6921278115057282,76.15442561205273,75.8771822722301
mainpeak_regression,9,elastic_net,3,531,5.197581400018567,6.992827315651709,0.6049000685492456,0.7785482815541567,0.6934257954995834,76.15442561205273,75.87116204465538
mainpeak_regression,9,lasso,3,531,5.20774432794696,7.015911418601202,0.6022872251255913,0.7764672012671542,0.692207839878808,76.15442561205273,75.87875879286065
mainpeak_regression,9,bayesian_ridge,3,531,5.2087768494937405,7.017554605391462,0.602100907805268,0.7763521632321794,0.6921059090036223,76.15442561205273,75.87707363103752
mainpeak_regression,9,hist_gradient_boosting,3,531,4.128510144716306,5.982237540542546,0.7108463660761957,0.8443514346528825,0.7617041743857991,76.15442561205273,76.12746659591228
mainpeak_regression,9,gradient_boosting,3,531,4.202267652883239,6.128861314439754,0.6964984347470544,0.835930418218508,0.7619836484665911,76.15442561205273,76.08272852165591
mainpeak_regression,9,random_forest,3,531,4.1720551629752585,6.063436180467699,0.7029435623276996,0.8397279200350892,0.7560184682751934,76.15442561205273,76.14323324229572
mainpeak_regression,9,extra_trees,3,531,4.160126524051149,6.118019569141402,0.6975712527210528,0.837526337701373,0.762661482409023,76.15442561205273,76.07440117137456
mainpeak_regression,9,mean_baseline,4,530,8.51309112238822,11.051753939157495,-0.0005579521949399258,,,75.97924528301887,76.24022609514837
mainpeak_regression,9,ridge,4,530,5.297897073972336,6.918400630619835,0.6079050498853119,0.7798900093123436,0.6705678113385185,75.97924528301887,76.17779200504872
mainpeak_regression,9,elastic_net,4,530,5.296045000816399,6.9183909490650315,0.6079061472736518,0.7800091641191302,0.6727082571983439,75.97924528301887,76.15612780670084
mainpeak_regression,9,lasso,4,530,5.296689371677582,6.914898082490664,0.6083019577465554,0.7801397259791263,0.671040445403971,75.97924528301887,76.17555006630948
mainpeak_regression,9,bayesian_ridge,4,530,5.297566176163432,6.917458194876555,0.6080118662282433,0.7799571324697886,0.670862975708802,75.97924528301887,76.17726986012714
mainpeak_regression,9,hist_gradient_boosting,4,530,4.325801027817273,6.130497405583555,0.6921272436813473,0.8362599554712258,0.7677226320919656,75.97924528301887,75.45155339453426
mainpeak_regression,9,gradient_boosting,4,530,4.331709379510533,6.100564431832988,0.695126363803032,0.8357128995481053,0.7598190321440108,75.97924528301887,75.6041683526542
mainpeak_regression,9,random_forest,4,530,4.343914142845982,6.193819894571463,0.6857343028912672,0.8303497952953504,0.7613488095349048,75.97924528301887,75.74340328961289
mainpeak_regression,9,extra_trees,4,530,4.279414363884066,6.0521810818773005,0.6999430701724142,0.8375474336186185,0.7673209689954411,75.97924528301887,75.63945798708474
mainpeak_regression,9,mean_baseline,5,530,8.489750175525911,11.269049638816094,-0.0001357741465406459,,,76.08301886792452,76.21431935939708
mainpeak_regression,9,ridge,5,530,5.663739421127639,7.64583434517062,0.5396012383297994,0.734926796595998,0.6679429155662139,76.08301886792452,76.11339131063247
mainpeak_regression,9,elastic_net,5,530,5.665435277137862,7.642501575072657,0.540002520580636,0.735969997347428,0.6703345227370151,76.08301886792452,76.12311845443163
mainpeak_regression,9,lasso,5,530,5.663484779638586,7.645773224613715,0.5396085991265331,0.7349193419165305,0.6677745499064861,76.08301886792452,76.11392649334171
mainpeak_regression,9,bayesian_ridge,5,530,5.663733668099069,7.645795203756401,0.5396059521678703,0.7349315692869159,0.6680835698679559,76.08301886792452,76.11341470144308
mainpeak_regression,9,hist_gradient_boosting,5,530,4.514121156092658,6.383526298214301,0.6790734245129288,0.824284261213548,0.7687621875429825,76.08301886792452,75.96420513847453
mainpeak_regression,9,gradient_boosting,5,530,4.545058310622906,6.565350139758198,0.660530966935033,0.8131649352092619,0.7710119810479957,76.08301886792452,76.0039350194125
mainpeak_regression,9,random_forest,5,530,4.550292912736894,6.441652654110548,0.6732023051697432,0.8212640457056191,0.7692615760378141,76.08301886792452,75.96147670285394
mainpeak_regression,9,extra_trees,5,530,4.556833104213726,6.499549491432166,0.6673014651591807,0.818331931481068,0.769984885660137,76.08301886792452,76.01124360653742
mainpeak_regression,9,bayesian_ridge,overall_oof,2653,5.437361060955154,7.365014803992356,0.5571972600798716,0.7465190643944636,0.6614338970860192,76.18808895589898,76.20864404738539
mainpeak_regression,9,elastic_net,overall_oof,2653,5.43868100938712,7.364045552314889,0.5573137999834272,0.7465758409156019,0.6624810395262724,76.18808895589898,76.20534056846068
mainpeak_regression,9,extra_trees,overall_oof,2653,4.35928856081727,6.326268578747416,0.6732931030841611,0.8208400832551764,0.755360868064426,76.18808895589898,76.16640325363295
mainpeak_regression,9,gradient_boosting,overall_oof,2653,4.407104695194446,6.392641030000033,0.6664018089112411,0.8163405976143895,0.748020082265546,76.18808895589898,76.15594340429756
mainpeak_regression,9,hist_gradient_boosting,overall_oof,2653,4.336223043766708,6.263501227317466,0.6797439189281451,0.8244870067163026,0.7557097294809931,76.18808895589898,76.1569533748946
mainpeak_regression,9,lasso,overall_oof,2653,5.437189152700051,7.364666240681277,0.5572391720490824,0.7465527986748556,0.6614534174586153,76.18808895589898,76.20907988882573
mainpeak_regression,9,mean_baseline,overall_oof,2653,8.334212810158204,11.069917105974882,-0.00034956776254535527,-0.024920601985437874,-0.024083887849585033,76.18808895589898,76.1880520249175
mainpeak_regression,9,random_forest,overall_oof,2653,4.390543896778883,6.342689245084356,0.6715948800859786,0.8195244198535463,0.7520145966626207,76.18808895589898,76.1740905656552
mainpeak_regression,9,ridge,overall_oof,2653,5.437394346446797,7.365227850736278,0.5571716419246072,0.7465048934722769,0.6614091484182791,76.18808895589898,76.20871045577849
