model,fold,rows,mae,rmse,r2,pearson_r,spearman_r,observed_mean,predicted_mean
gradient_boosting,3,531,4.00643759410355,5.699386264094223,0.7375433811073833,0.8600559676411679,0.7869398184718687,76.15442561205273,76.07583368075606
random_forest,3,531,4.006490433336091,5.915220661133587,0.717288648144763,0.8477241637445123,0.780661337490566,76.15442561205273,76.10996941322456
extra_trees,3,531,3.9555972782195155,5.748697404264554,0.7329821803669861,0.8571710851697742,0.7879702969610488,76.15442561205273,76.15205077410435
mean_baseline,4,530,8.51309112238822,11.051753939157495,-0.0005579521949399258,,,75.97924528301887,76.24022609514837
ridge,4,530,4.697825219792345,7.260344360988019,0.5681884308773684,0.7747303366973898,0.7460016203783231,75.97924528301887,75.23623292857849
elastic_net,4,530,4.616945006968641,6.8442297576881375,0.6162671366755383,0.7937718846122652,0.745273267275945,75.97924528301887,75.42795093117674
lasso,4,530,4.773461464961529,7.62336138289147,0.523927769540584,0.7550940537459927,0.742714219275549,75.97924528301887,75.15144710859317
bayesian_ridge,4,530,4.648096964010716,6.977107469722763,0.601222488399964,0.7882642000106516,0.7450728110583844,75.97924528301887,75.35080592651335
hist_gradient_boosting,4,530,4.385659489463229,6.545538113742185,0.6490295552884267,0.8160032423740199,0.7472008155222847,75.97924528301887,75.14007230180654
gradient_boosting,4,530,4.382257206770426,6.339116853930311,0.6708170377963101,0.8237437172369725,0.7567359199581118,75.97924528301887,75.30736098275753
random_forest,4,530,4.1572564139895105,6.030589298226187,0.7020802195380994,0.8402220391457434,0.7789272042103739,75.97924528301887,75.47074741057494
extra_trees,4,530,4.055035578649029,5.758318320553517,0.7283741039345217,0.8549815375314482,0.7859052182433683,75.97924528301887,75.51710649684675
mean_baseline,5,530,8.489750175525911,11.269049638816094,-0.0001357741465406459,,,76.08301886792452,76.21431935939708
ridge,5,530,4.740483740355894,6.62972887474204,0.6538407713855543,0.808761293185246,0.7317679969656918,76.08301886792452,76.08686202527636
elastic_net,5,530,4.77428475235997,6.622979690811441,0.6545452053536385,0.8096069640371594,0.7386752961574221,76.08301886792452,76.07253005810028
lasso,5,530,4.718009815902974,6.587524031861173,0.6582340410951435,0.8115766352649071,0.7303315191350102,76.08301886792452,76.09716179927516
bayesian_ridge,5,530,4.762396624666882,6.6318445749698105,0.6536198012582217,0.8087958328679481,0.7367398648331979,76.08301886792452,76.08634962132739
hist_gradient_boosting,5,530,4.373034324989307,6.293026291994568,0.688108549186826,0.8299936535044989,0.7881468650394432,76.08301886792452,76.0742668212822
gradient_boosting,5,530,4.469439709943787,6.309153054897144,0.6865079697427259,0.8290805457628369,0.7761275065654112,76.08301886792452,76.08262103550422
random_forest,5,530,4.491553029713115,6.480476435582334,0.6692512209486169,0.8184206111709964,0.7782259722078896,76.08301886792452,75.98534113639633
extra_trees,5,530,4.3480117907979485,6.297933487160762,0.6876219442109368,0.8298599782009564,0.7891565097970743,76.08301886792452,75.97483904390523
bayesian_ridge,overall_oof,2653,4.576774969696651,7.352699033528229,0.5586769304995886,0.7599388365134401,0.7404340944531502,76.18808895589898,76.06610075149126
elastic_net,overall_oof,2653,4.5116683924307655,6.523626215983159,0.6525909002015939,0.8080558044494531,0.7409238616341245,76.18808895589898,76.13273350528158
extra_trees,overall_oof,2653,4.1671981174082235,6.0573683869135095,0.7004764154193914,0.8370126463911944,0.7750108946304248,76.18808895589898,76.13643696088614
gradient_boosting,overall_oof,2653,4.307813371796571,6.1916663146772235,0.6870477075029889,0.8289452561902497,0.7601786606842237,76.18808895589898,76.07777833833902
hist_gradient_boosting,overall_oof,2653,4.254726784312589,6.209268315361144,0.685265823196388,0.8280728572649892,0.7593262997339854,76.18808895589898,76.06892304011275
lasso,overall_oof,2653,4.773924445776246,15.69331384887793,-1.0104458108602308,0.45332249585228074,0.743688786657449,76.18808895589898,75.79693645281392
mean_baseline,overall_oof,2653,8.334212810158204,11.069917105974882,-0.00034956776254535527,-0.024920601985437874,-0.024083887849585033,76.18808895589898,76.1880520249175
random_forest,overall_oof,2653,4.268361279782775,6.252615220763265,0.6808561659147466,0.8251831493798372,0.7638224002724483,76.18808895589898,76.0985493154621
ridge,overall_oof,2653,4.715239792510222,11.845868920053997,-0.14550475571086374,0.5621046048882957,0.7410143673687215,76.18808895589898,75.93015873420438
