,token_lT_count,longest_lA_run,longest_lC_run,token_lC_count,lna_last_fraction,longest_rU_run,rna_mean_fraction,rna_count_3p,repeated_dinucleotide_count,longest_homopolymer_run,methyl_mean_fraction,rna_mean_position,modified_token_mean_fraction,token_rU_count,mod_density_3p,longest_mG_run,modified_token_position_std,token_mC_count,slash_mod_density_middle,token_rU_fraction,methyl_position_std,rna_count_middle,base_U_count,mod_density_middle,methyl_mean_position,longest_rna_run,token_rA_count,rna_span_fraction,rna_first_position,token_rG_count,star_density_3p,slash_mod_count_3p,star_count_5p,token_rA_fraction,star_count_middle,modified_token_first_position,longest_mC_run,star_first_position,token_rG_fraction,slash_mod_position_std,longest_mU_run,base_C_fraction,methyl_count_5p,mod_density_5p,base_U_fraction,token_rC_fraction,purine_fraction,longest_rG_run,base_G_count,slash_mod_last_position,base_C_count,longest_gc_run,slash_mod_first_position,modified_token_mean_position,max_gc_window_10,lna_count_3p,slash_mod_count,decorated_length,longest_slash_mod_run,base_G_fraction,slash_mod_density_5p,terminal_gc_count,longest_rC_run,unknown_char_count,unknown_char_fraction,terminal_star_count,token_lU_count,token_lU_fraction,longest_lU_run,lna_count_5p,lna_density_5p
rna_span_fraction,0.00442435726442046,0.00464666114982934,0.004115854251749279,0.004350163364653136,0.007291157280593243,0.05108979526806249,0.5948603584037512,0.7617477245870165,0.13864233596324244,0.13612614132551018,0.35282486303393246,0.3642721031758632,0.2916412106148531,0.3708045791816355,0.8609820805617562,0.6225080355901199,0.22973803783413432,0.7271444380764921,0.012916238999166345,0.4473112747263496,0.13609204964125454,0.402496042966896,0.023677389564751475,0.6087843443806009,0.3521493333564326,0.6435762246035728,0.38773522985766146,1.0,0.4787462313972256,0.47709392276113277,0.31049383102147027,0.016276781191870742,0.24883269231119137,0.41192461986401135,0.07931810865850579,0.008943311921086166,0.6608053198787104,0.006627316983281886,0.6214279476438277,0.1771670419250349,0.6964843737299206,0.09498879770160763,0.49997509863292877,0.48420176481949606,0.1898751846716271,0.5573491272271638,0.062110144288768564,0.05425786273499984,0.08748301438856401,0.1334535332734906,0.1297852904034975,0.04593123926243454,0.00671879795594959,0.2756320337306926,0.043895761417753254,0.0046106452763528104,0.04108896979528408,0.15448836378223801,0.033845900175268076,0.002172894967756717,0.09943164487357666,0.06902345697477913,0.16703409621179677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rna_first_position,0.006090494841683255,0.006573672825104887,0.004926987230793383,0.004644768534016948,0.007680026202017769,0.0378983184603722,0.2197297239949943,0.15114076493690917,0.18707296207298826,0.20593964254867392,0.4086918915648195,0.16684134753123017,0.2886673379864309,0.004351855800443476,0.2040827321761526,0.2422861571067294,0.17365599696843104,0.17719106555178737,0.06255221754651469,0.15177903853209812,0.3006545021436644,0.07721480784417664,0.20802948565839505,0.1313743486694403,0.35627479153020636,0.1726717888155501,0.22830825559143714,0.4787462313972256,1.0,0.03927988954796383,0.3354357317013236,0.038539557650492974,0.38107035820050184,0.31731339876830245,0.12500995970304912,0.013263910475528952,0.24861097546015892,0.02080993681748758,0.1729655468151303,0.2920959493930768,0.32849804177361214,0.07826802945186109,0.2697151331381495,0.2868837920991626,0.21035733196358822,0.20524559263095482,0.18803314784232564,0.01694055445618479,0.12718177076263837,0.1893881113582734,0.1067121433193092,0.0485439990750288,0.034278196006880764,0.2553764580406999,0.16102789957534597,0.0023210668512267515,0.06988490959880572,0.014410486476925178,0.04822408584176843,0.12930364739357625,0.2062635056314517,0.0300419359593102,0.036500053354484016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_rG_count,0.02911583357081218,0.01826102884378751,0.011963101749234267,0.0017210721191830113,0.005978454463047156,0.027943828977009,0.37105163818666925,0.7947501655840818,0.13325331839418292,0.21831322188604457,0.054557807275074394,0.8054418468726281,0.14704248998366493,0.8102925916141165,0.5242966427200946,0.21527990223810758,0.7116450141781763,0.4560197255995527,0.060614253743978656,0.4499009399498506,0.5684533281886778,0.8140888727455037,0.6249428276167689,0.4455049071159117,0.2234357723455981,0.6756097998168037,0.026691516729321987,0.47709392276113277,0.03927988954796383,1.0,0.08034252537908991,0.02553069477880417,0.009379640944713235,0.2356942517812663,0.14026278927149097,0.02224067802639537,0.24709779012800737,0.03730864578530479,0.8475260593507136,0.12135920592123993,0.2902541004330962,0.513456954333665,0.2970601260697673,0.3950247188702759,0.08134694795082054,0.7169517199570168,0.38664495839255064,0.5347903802641473,0.8720549292285474,0.18855748587229493,0.7845868177366215,0.3972743748011067,0.1494321857062112,0.3743357115985948,0.5950284762364938,0.003470469232003719,0.024495367051091232,0.6932472392266423,0.0739628999286145,0.6334664481725648,0.0401517922917766,0.13645152238970806,0.4863624321252782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
star_density_3p,0.005318683836208626,0.004450992971893747,0.0021347584852034413,0.00160637613092715,0.0054777822651934475,0.22700453109924826,0.21655716156781807,0.24073807408290168,0.28618926549685125,0.25812794455055976,0.8201630978490124,0.046876525404349174,0.6019155724662284,0.027918348190486924,0.34973176321632227,0.3945103561132383,0.28221831431199235,0.2714956884616173,0.005685062307265959,0.021821940095647672,0.5174346481496325,0.0653089928563402,0.2250103292275717,0.22060480549482678,0.6612518986098292,0.20613282967504085,0.2522232717317922,0.31049383102147027,0.3354357317013236,0.08034252537908991,1.0,0.11373334707289648,0.6309496879241628,0.2929809942080392,0.14979225519159461,0.08739861115818728,0.39285845219457977,0.1985271751918492,0.1611702136206529,0.5008528333251848,0.601127746434756,0.06264137030640038,0.42416550714355605,0.4944262896127293,0.34951100729991447,0.22535687660054934,0.18723102352892693,0.07377753423585363,0.042849310536221326,0.3695282304485785,0.026285676888648458,0.05140242138874867,0.006029037590812439,0.46613953057001056,0.10925625127806299,0.004607222658529303,0.14971984267249708,0.011361673054311372,0.1101618735659511,0.09508934780233348,0.24677331953829376,0.19261590943584317,0.07630773633136478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slash_mod_count_3p,0.12498620587560828,0.12241081024135361,0.06782215881330418,0.045893556523477895,0.09691710058208171,0.06674218293064837,0.10968054316076038,0.06768089876410421,0.03638950532230816,0.027522163369705897,0.07269142355045073,0.02219966231845742,0.0756330118260085,0.08481315247250426,0.10003283870280462,0.0763100726364499,0.02132259967619022,0.23827608697573796,0.007911885889593169,0.14757133777033432,0.13056387171189412,0.08979020657349608,0.02862208209713533,0.28337573275600264,0.007576193367433013,0.1927718611336131,0.07087174318761547,0.016276781191870742,0.038539557650492974,0.02553069477880417,0.11373334707289648,1.0,0.07864173317071067,0.10575525336798376,0.047191619286072364,0.0033272555927238968,0.07132250406526712,0.023969993597596696,0.07303430226394085,0.23196230752005761,0.12287991341831313,0.08224241533577754,0.3968806041438342,0.18138701208373023,0.08462368950466642,0.04329786317141477,0.0017530257302107739,0.04631172315055067,0.07077391573500576,0.6246703130918313,0.08368445549742176,0.06479180365312319,0.6408539939843544,0.14223881196330143,0.09756873645472244,0.004116490879470967,0.8489551931457779,0.20189864134618185,0.774387872145531,0.06117962815912025,0.1544335794857353,0.07241865242194061,0.005357691425868287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
star_count_5p,0.039394074138796385,0.04115285771855522,0.007288178490537639,0.0068707103423317085,0.0353479112038895,0.02878220897468849,0.040831074370514836,0.11419899884833047,0.24874167500650893,0.334296535534427,0.7318523286415051,0.06840448837000687,0.5027120307769783,0.03369434418802814,0.20808934982806518,0.36619518088313374,0.27395816506212456,0.17315285697728303,0.008780511577142614,0.07573021938688729,0.5326214372137351,0.021615170553782554,0.16759963548267823,0.1858014320847251,0.5302042351190343,0.20779783596115783,0.2792756237696921,0.24883269231119137,0.38107035820050184,0.009379640944713235,0.6309496879241628,0.07864173317071067,1.0,0.3447548651050653,0.5799913675711149,0.033889554239563704,0.37865687224146466,0.021554098324904073,0.09287705496615782,0.4809318040567915,0.4926045972250175,0.11114313346176201,0.49646433558503045,0.7574810942375619,0.22071971967661363,0.07385076931995904,0.21614997261458985,0.017424691412095697,0.08454467359014445,0.32220594792648427,0.07372108110439686,0.009355460672164126,0.04201449488125258,0.31158054052615475,0.14967999868122034,0.0034334064018847897,0.14031047839665153,0.0037400255673996907,0.09717745248221403,0.17544784842332817,0.31192359936933234,0.004231595377683839,0.024247732667432326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
token_rA_fraction,0.03684467676332232,0.041946690849491916,0.024038715074586662,0.021941328654773353,0.04674603699460334,0.27996653698930524,0.2114098091668716,0.26723716374743234,0.7415635685737231,0.8064286580169493,0.3973755650420538,0.020225833215895595,0.4854976766518223,0.29122678747670994,0.366494436179466,0.4329074846558358,0.23091009432278392,0.37282645134699055,0.0970369628950463,0.2852875564506372,0.21590359859583713,0.10869156934717673,0.5130953172382103,0.3474277047074531,0.4165227395248653,0.3662447152265149,0.8900594618961937,0.41192461986401135,0.31731339876830245,0.2356942517812663,0.2929809942080392,0.10575525336798376,0.3447548651050653,1.0,0.13327285984767756,0.05609270498125128,0.45117448003809013,0.01796295537688535,0.22751778737978826,0.04451666490152208,0.4353029991028973,0.6761905687890737,0.39479416438385756,0.37121343987334077,0.6340771843749654,0.3183461269790684,0.8528302161225141,0.4341536284163744,0.48553990767950655,0.12085853266803381,0.5190986548026253,0.3780463562783439,0.22138415978749953,0.4574146782629651,0.7367986532844678,0.018103467422479848,0.13950155106870285,0.07319438646946826,0.1469212342996017,0.7229949830289654,0.03701981751368961,0.05127698545324218,0.4060492909164109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
star_count_middle,0.011373050726315208,0.012275310371571582,0.009200381440309009,0.008673381970186229,0.014341253025482498,0.3224818158786442,0.24080119620389762,0.07059919641786404,0.048798094959586286,0.1726316653721326,0.02471547968652051,0.10482252164130557,0.0109415602587507,0.21788400041073544,0.037215167148984596,0.05324274542645816,0.16168430250751017,0.003557784240500733,0.023328989486997007,0.15218703726114333,0.09091051214374123,0.24546401866938702,0.24591735355717995,0.13183903468517594,0.13468277317723876,0.2685585793092539,0.19056485561551426,0.07931810865850579,0.12500995970304912,0.14026278927149097,0.14979225519159461,0.047191619286072364,0.5799913675711149,0.13327285984767756,1.0,0.005932898613979631,0.05514118844492023,0.002359133665144701,0.06064906910967796,0.05212110176765958,0.009165714318159691,0.16358083766934348,0.2280083158382977,0.563733247880934,0.08804207529015143,0.044886571518782205,0.04886368922413955,0.020872276903264732,0.14877928174215357,0.0769105904282154,0.05905184471875244,0.011287449267343149,0.05708661015351801,0.1980411739357808,0.013026470339331665,0.004334230916264116,0.02726644777489622,0.2434920888896409,0.036670511962855326,0.06899438229526769,0.03198345762338135,0.24394775606699745,0.0063346018091452105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modified_token_first_position,0.0008018594658953123,0.0008654734824555331,0.0006486749356256061,0.000611518721008359,0.001011133227839757,0.07259271654750153,0.02210002281453463,0.004906891471523775,0.06448382903898237,0.06037384111985189,0.11656539240247972,0.013348608737806184,0.16018292372536677,0.04173312500957498,0.02650448907222869,0.019261115324509814,0.04419259221089488,0.010903935542919619,0.0016448155820352388,0.03352953673284889,0.03395705264211449,0.017011006348320742,0.05842973427521118,0.007280699035939333,0.11688953859005644,0.0020937480657082126,0.04156632956168649,0.008943311921086166,0.013263910475528952,0.02224067802639537,0.08739861115818728,0.0033272555927238968,0.033889554239563704,0.05609270498125128,0.005932898613979631,1.0,0.01978109891695974,0.39753183714253715,0.011636156639105272,0.004143370311688663,0.0632888942089329,0.02641338627442408,0.020239913237892933,0.026564150397713863,0.0631029169957776,0.014569260109863733,0.058312721428347876,0.014548665527679042,0.03010780660660009,0.006211011699773646,0.031913089730360146,0.02382836230371342,0.004422189676488066,0.1437808855662012,0.05619188394226146,0.00030558591280533895,0.009890452959177952,0.02208585023271357,0.0060558300843825495,0.02975062957707358,0.019595814490877484,0.009550899775959736,0.03678452180969784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longest_mC_run,0.05841581169096538,0.05410669719527697,0.04055312962389198,0.03096319805230842,0.060726199911505255,0.07992052455067464,0.5991380612150728,0.54557440322123,0.14981610592169678,0.18605865858792986,0.5292572479019185,0.15003955159315446,0.41123221670064586,0.1612477581857509,0.7434385462083931,0.6147371010474557,0.02092091240119537,0.8178263993505701,0.0422715172363903,0.336213613700939,0.11085478136044197,0.2065722006241007,0.1844349236827798,0.6235473561660761,0.5679112726337562,0.5263220878660838,0.3654609214418373,0.6608053198787104,0.24861097546015892,0.24709779012800737,0.39285845219457977,0.07132250406526712,0.37865687224146466,0.45117448003809013,0.05514118844492023,0.01978109891695974,1.0,0.0034226944295742434,0.447802268451231,0.27570276271253097,0.7341369290129068,0.1207848393372684,0.6097284288469922,0.5009616948872073,0.16392098298444593,0.3405296766857274,0.1853736184323403,0.041157430043427846,0.11230757003123179,0.09834544702344572,0.15240893421059318,0.05698320353513104,0.1466469029485949,0.4671709642535369,0.12922452629689532,0.033630113790792796,0.034917744699738136,0.09881143760036652,0.038036834673400396,0.08090778657905781,0.1657962804979495,0.002221410394007092,0.0037251599021054056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
